,0
Total_length_of_forward_TCP_header,0.00045603327
max_Interval_of_arrival_time_of_forward_traffic_ratio,0.00043802251
flow_duration_ratio,0.0004260117
min_Interval_of_arrival_time_of_forward_traffic_ratio,0.00042075067
std_forward_packet_length_enc,0.00038180608
std_backward_packet_length_ratio,0.00038076457
mean_Interval_of_arrival_time_of_backward_traffic_ratio,0.00038059012
mean_forward_packet_length_enc,0.00037302694
max_Interval_of_arrival_time_of_backward_traffic_enc,0.00037042695
flow_duration_of_backward_traffic_enc,0.00036449448
mean_backward_packet_length_ratio,0.00034603462
flow_duration_of_forward_traffic_enc,0.00034089014
min_Interval_of_arrival_time_of_backward_traffic_ratio,0.00033749957
mean_Interval_of_arrival_time_of_forward_traffic_ratio,0.00033152493
std_forward_packet_length_ratio,0.0003259299
Total_length_of_forward_TCP_segment(packet),0.0003126075
total_TCP_windows_size_valuel_backward_traffic_ratio,0.00030551368
meidan_length_of_IP_packet_enc,0.00030393046
mean_Interval_of_arrival_time_of_backward_traffic_enc,0.00029558621
median_TCP_windows_size_value_forward_traffic_ratio,0.00028795042
Total_length_of_forward_TCP_header_ratio,0.00028108695
mean_Length_of_TCP_payload,0.0002767254
mean_TCP_windows_size_value_backward_traffic,0.00027392776
Total_length_of_forward_payload_enc,0.0002678385
mean_TCP_windows_size_value_backward_traffic_ratio,0.00025196982
std_Length_of_IP_packets,0.00025032798
median_forward_packet_length_ratio,0.00024712665
Total_Time_to_live_per_session,0.00024270272
Total_length_of_IP_packet_per_session,0.00022428001
median_TCP_windows_size_value_forward_traffic,0.00021917831
min_TCP_windows_size_value_backward_traffic,0.00021487068
mean_Time_difference_between_packets_per_session,0.00020485591
var_length_of_IP_packet_ratio,0.00018436454
Total_Time_to_live_enc,0.00017808993
The_times_of_change_of_payload_per_session,0.00017777148
std_Interval_of_arrival_time_of_forward_traffic,0.00016703781
flow_duration_of_backward_traffic,0.0001613724
std_Time_difference_between_packets_per_session,0.00016110594
min_TCP_windows_size_value,0.00016030426
mean_Length_of_TCP_packet_header,0.00015063053
mean_backward_packet_length_enc,0.00014908171
median_Interval_of_arrival_time_of_forward_traffic_ratio,0.00014729632
max_Interval_of_arrival_time_of_backward_traffic_ratio,0.0001403788
flow_duration_enc,0.00013210339
median_backward_packet_length,0.00013107518
var_Interval_of_arrival_time_of_forward_traffic_ratio,0.00011954436
min_ttl_backward_traffic_ratio,0.00011949152
Total_length_of_backward_TCP_segment_ratio,0.00010699469
meidan_length_of_IP_packet_ratio,9.539381e-05
var_Interval_of_arrival_time_of_forward_traffic,9.142279e-05
var_TCP_windows_size_value_backward_traffic,8.969748e-05
mean_Length_of_IP_packets,8.898687e-05
median_Length_of_TCP_payload,8.762975e-05
Total_length_of_backward_TCP_header_ratio,8.652232e-05
median_backward_packet_length_ratio,8.463211e-05
total_payload_per_session,8.285075e-05
max_backward_packet_length_enc,7.83833e-05
median_ttl_backward_traffic,6.898003e-05
Total_length_of_IP_packet_ratio,6.840601e-05
std_Length_of_TCP_payload,6.603385e-05
Total_length_of_IP_packet_enc,6.526883e-05
Total_length_of_backward_IP_header_ratio,6.3214175e-05
var_Interval_of_arrival_time_of_forward_traffic_enc,5.8393354e-05
median_TCP_windows_size_value_backward_traffic_ratio,5.173349e-05
Total_length_of_backward_IP_header,4.9707276e-05
Total_length_of_backward_payload,4.7706337e-05
unique_link_mark,3.2884956e-05
total_ttl_forward_traffic,3.214528e-05
Total_length_of_backward_TCP_segment_enc,2.9641787e-05
Total_length_of_backward_TCP_header_enc,1.8249726e-05
var_ttl_forward_traffic_ratio,0.0
enc_ratio_of_forward_packets,0.0
min_ttl_forward_traffic_ratio,0.0
std_ttl_forward_traffic_ratio,0.0
max_ttl_forward_traffic_ratio,0.0
mean_ttl_forward_traffic_ratio,0.0
enc_ratio_of_backward_packets,0.0
Total_length_of_forward_IP_header_ratio,0.0
median_Length_of_TCP_packet_header,0.0
var_Interval_of_arrival_time_of_backward_traffic_ratio,0.0
min_Length_of_TCP_packet_header,0.0
median_ttl_forward_traffic_ratio,0.0
median_ttl_backward_traffic_ratio,0.0
std_ttl_backward_traffic_ratio,0.0
var_Length_of_TCP_payload,0.0
Total_length_of_forward_IP_header,0.0
var_ttl_backward_traffic_ratio,0.0
var_TCP_windows_size_value_backward_traffic_ratio,0.0
min_Length_of_TCP_payload,0.0
var_Length_of_IP_packets,0.0
var_forward_packet_length_enc,0.0
var_TCP_windows_size_value_forward_traffic_ratio,0.0
var_backward_packet_length_enc,0.0
std_length_of_IP_packet_ratio,0.0
No_of_forward_packets,0.0
max_length_of_IP_packet_ratio,0.0
No_of_backward_packets,0.0
min_Length_of_IP_packets,0.0
std_Length_of_IP_packet_header,0.0
var_Length_of_TCP_packet_header,0.0
var_TCP_windows_size_value_backward_traffic_enc,0.0
Total_length_of_backward_IP_header_enc,0.0
var_Time_difference_between_packets_per_session,0.0
min_Change_values_of_TCP_windows_length_per_session,0.0
var_ttl_forward_traffic_enc,0.0
median_ttl_forward_traffic_enc,0.0
var_time_to_live,0.0
min_forward_packet_length,0.0
var_forward_packet_length,0.0
min_backward_packet_length,0.0
median_TCP_windows_size_value_backward_traffic_enc,0.0
var_Interval_of_arrival_time_of_backward_traffic,0.0
mean_Length_of_IP_packet_header,0.0
var_TCP_windows_size_value_forward_traffic_enc,0.0
std_ttl_forward_traffic,0.0
max_ttl_forward_traffic,0.0
var_ttl_forward_traffic,0.0
median_ttl_forward_traffic,0.0
var_ttl_backward_traffic,0.0
median_ttl_backward_traffic_enc,0.0
var_ttl_backward_traffic_enc,0.0
min_ttl_backward_traffic_enc,0.0
var_TCP_windows_size_value_forward_traffic,0.0
No_of_enc_forward_packets,0.0
No_of_enc_backward_packets,0.0
mean_of_backward_IP_header,0.0
mean_of_forward_IP_header,0.0
median_Length_of_IP_packet_header,0.0
max_Length_of_IP_packet_header,0.0
min_Length_of_IP_packet_header,0.0
var_Interval_of_arrival_time_of_backward_traffic_enc,0.0
std_ttl_backward_traffic_enc,0.0
var_Length_of_IP_packet_header,0.0
var_backward_packet_length_ratio,0.0
var_TCP_windows_size_value,0.0
max_backward_packet_length_ratio,0.0
std_ttl_forward_traffic_enc,0.0
mean_Length_of_TCP_segment(packet),0.0
mean_ttl_forward_traffic_enc,0.0
max_ttl_forward_traffic_enc,0.0
median_Length_of_TCP_segment(packet),0.0
max_forward_packet_length_ratio,0.0
max_Length_of_TCP_segment(packet),0.0
min_ttl_forward_traffic_enc,0.0
min_Length_of_TCP_segment(packet),0.0
total_payload_per_session_enc,0.0
std_Length_of_TCP_segment(packet),0.0
var_Length_of_TCP_segment(packet),0.0
var_forward_packet_length_ratio,0.0
